metric_id,metric_name,category,unit,higher_is_better,default_weight,stage_module,formula_summary,minimum_history,mandatory_rule
GRW_REV_1Y,Revenue Growth TTM YoY,GROWTH,decimal,true,0.25,ALL,(Revenue TTM / Revenue prior TTM)-1,8 quarters,
GRW_REV_3Y,Revenue CAGR 3Y,GROWTH,decimal,true,0.25,ALL,(Revenue FY0 / Revenue FY-3)^(1/3)-1,4 fiscal years,
GRW_EPS_1Y,EPS Growth TTM YoY,GROWTH,decimal,true,0.15,GRW_MAT,Adjusted diluted EPS TTM growth; replace for pre-profit firms,8 quarters,
GRW_FCF_1Y,FCF Growth TTM YoY,GROWTH,decimal,true,0.15,GRW_MAT,FCF TTM growth; replace with burn improvement when both periods negative,8 quarters,
GRW_GM_DELTA,Gross Margin Change,GROWTH,decimal,true,0.10,ALL,Gross margin TTM minus prior TTM,8 quarters,
GRW_OM_DELTA,Operating Margin Change,GROWTH,decimal,true,0.10,ALL,Operating margin TTM minus prior TTM,8 quarters,
QLT_ROIC,Return on Invested Capital,QUALITY,decimal,true,0.25,GRW_MAT,NOPAT / average invested capital,8 quarters,
QLT_GM,Gross Margin TTM,QUALITY,decimal,true,0.15,ALL,Gross profit TTM / revenue TTM,4 quarters,
QLT_OM,Operating Margin TTM,QUALITY,decimal,true,0.20,ALL,Operating income TTM / revenue TTM,4 quarters,
QLT_FCFM,FCF Margin TTM,QUALITY,decimal,true,0.20,ALL,Free cash flow TTM / revenue TTM,4 quarters,
QLT_CASH_CONV,Cash Conversion 3Y Median,QUALITY,ratio,true,0.10,GRW_MAT,Median annual FCF / adjusted net income,3 fiscal years,
QLT_STABILITY,Operating Margin Dispersion,QUALITY,decimal,false,0.10,ALL,Standard deviation of quarterly operating margin,12 quarters,
FIN_NET_DEBT_EBITDA,Net Debt to EBITDA,FINANCIAL_STRENGTH,ratio,false,0.25,NON_FINANCIALS,(Debt minus cash) / EBITDA TTM,4 quarters,
FIN_INTEREST_COVER,Interest Coverage,FINANCIAL_STRENGTH,ratio,true,0.20,NON_FINANCIALS,EBIT TTM / interest expense TTM,4 quarters,
FIN_CURRENT_RATIO,Current Ratio,FINANCIAL_STRENGTH,ratio,true,0.10,NON_FINANCIALS,Current assets / current liabilities,1 quarter,
FIN_NET_CASH_ASSETS,Net Cash to Assets,FINANCIAL_STRENGTH,decimal,true,0.15,NON_FINANCIALS,(Cash minus debt) / total assets,1 quarter,
FIN_DEBT_TREND,Net Debt Change 1Y,FINANCIAL_STRENGTH,decimal,false,0.10,NON_FINANCIALS,Net debt current minus prior year scaled by assets,5 quarters,
FIN_RUNWAY,Cash Runway Months,FINANCIAL_STRENGTH,months,true,0.20,EMG,Cash and equivalents / monthly FCF burn,4 quarters,Mandatory for Emerging with negative TTM FCF
VAL_EV_SALES_FWD,Forward EV to Sales,VALUATION,ratio,false,0.40,EMG,Enterprise value / forward revenue,Current plus next FY estimate,
VAL_EV_GP,EV to Gross Profit,VALUATION,ratio,false,0.25,EMG,Enterprise value / gross profit TTM,4 quarters,
VAL_GROWTH_ADJ,Growth Adjusted EV Sales,VALUATION,ratio,false,0.25,EMG,Forward EV/sales divided by forward revenue growth,Forward estimate,
VAL_EV_EBITDA_FWD,Forward EV to EBITDA,VALUATION,ratio,false,0.25,GRW_MAT,Enterprise value / forward EBITDA,Forward estimate,
VAL_PEG_FWD,Forward PEG,VALUATION,ratio,false,0.20,GRW,Forward P/E divided by forward EPS growth,Forward estimate,
VAL_PE_FWD,Forward PE,VALUATION,ratio,false,0.25,MAT,Price / forward diluted EPS,Forward estimate,
VAL_FCF_YIELD,FCF Yield TTM,VALUATION,decimal,true,0.30,ALL,FCF TTM / market capitalization,4 quarters,
VAL_REL_HISTORY,Valuation Percentile vs 5Y History,VALUATION,percentile,false,0.20,GRW_MAT,Current primary multiple percentile in own history,5 years,
MOM_RS_6M,Relative Strength 6M,MOMENTUM,decimal,true,0.30,ALL,Security total return minus benchmark return,126 trading days,
MOM_RS_12M,Relative Strength 12M Ex Recent Month,MOMENTUM,decimal,true,0.30,ALL,12M return ending 20 trading days before cutoff minus benchmark,252 trading days,
MOM_TREND_200D,Price vs 200D Average,MOMENTUM,decimal,true,0.15,ALL,Adjusted close / 200D moving average minus 1,200 trading days,
MOM_EPS_REV_3M,EPS Estimate Revision 3M,MOMENTUM,decimal,true,0.15,ALL,Current forward EPS estimate / estimate 3 months prior minus 1,Two PIT snapshots,
MOM_REV_REV_3M,Revenue Estimate Revision 3M,MOMENTUM,decimal,true,0.10,ALL,Current forward revenue estimate / estimate 3 months prior minus 1,Two PIT snapshots,
CAP_SHARE_CHANGE,Diluted Share Count Change YoY,CAPITAL_ALLOCATION,decimal,false,0.35,ALL,Diluted weighted average shares TTM / prior TTM minus 1,8 quarters,
CAP_SBC_REVENUE,SBC to Revenue,CAPITAL_ALLOCATION,decimal,false,0.20,ALL,Stock-based compensation TTM / revenue TTM,4 quarters,
CAP_BUYBACK_YIELD,Net Buyback Yield,CAPITAL_ALLOCATION,decimal,true,0.20,GRW_MAT,Net repurchases TTM / market capitalization,4 quarters,
CAP_ROIC_TREND,ROIC Trend 3Y,CAPITAL_ALLOCATION,decimal,true,0.15,GRW_MAT,ROIC current minus three years prior,4 fiscal years,
CAP_INSIDER,Discretionary Insider Signal,CAPITAL_ALLOCATION,score,true,0.10,ALL,Rules-based net open-market insider purchase signal,12 months,
RSK_VOL_1Y,Annualized Volatility 1Y,RISK,decimal,false,0.25,ALL,Daily return standard deviation times sqrt(252),252 trading days,
RSK_DRAWDOWN_3Y,Maximum Drawdown 3Y,RISK,decimal,true,0.25,ALL,Minimum drawdown from prior adjusted-price peak,756 trading days,
RSK_BETA_2Y,Beta Excess Above One,RISK,ratio,false,0.10,ALL,Maximum of zero and two-year beta minus one,504 trading days,
RSK_EARN_VOL,Earnings Volatility,RISK,decimal,false,0.15,ALL,Dispersion of quarterly EPS or operating income,12 quarters,
RSK_DILUTION,Dilution CAGR 3Y,RISK,decimal,false,0.15,ALL,Three-year CAGR of diluted share count,4 fiscal years,
RSK_EVENT_FLAG,Severe Event Risk Flag,RISK,score,false,0.10,ALL,Versioned active governance solvency or listing-risk score,Current,
